# Analyzed latency, 2011-09-30T06:23:37, Generic NMEA, 19200 8N1, cycle 1s
#- Tag -  ----- Fix time -----  - Chars -  - Latency -  -- RS232 --  --Analysis-  --- Recv --
     RMC  1317363845.979000092        182  0.131793022  0.226584689  0.232041836  0.233066797
     RMC  1317363846.979000092        198  0.121786833  0.224911833  0.232031822  0.233124971
     RMC  1317363847.979000092        197  0.093047857  0.195652024  0.202032804  0.203070879
     RMC  1317363848.979000092        198  0.121785879  0.224910879  0.232039928  0.233106852
     RMC  1317363849.979000092        378  0.131783962  0.328658962  0.342058897  0.342995882
     RMC  1317363850.979000092        182  0.131788969  0.226580636  0.232040882  0.233107805
     RMC  1317363851.979000092        182  0.131788969  0.226580636  0.232047796  0.233096838
     RMC  1317363852.977999926        181  0.132789135  0.227059968  0.233030081  0.234099150
     RMC  1317363853.977999926        189  0.092791080  0.191228580  0.193041086  0.194038153
     RMC  1317363854.977999926        389  0.124044180  0.326648347  0.343034029  0.343973160
     RMC  1317363855.977999926        188  0.092787027  0.190703694  0.193047047  0.194010019
     RMC  1317363856.977999926        191  0.132786989  0.232266156  0.233046055  0.234140158
     RMC  1317363857.977999926        185  0.092787981  0.189142148  0.193644047  0.194629192
     RMC  1317363858.977999926        185  0.132788181  0.229142348  0.233074188  0.234179020
     RMC  1317363859.977999926        392  0.122789145  0.326955811  0.343053102  0.344072104
     RMC  1317363860.977999926        185  0.092797995  0.189152161  0.193041086  0.194131136
     RMC  1317363861.977999926        197  0.122791052  0.225395219  0.233054161  0.234105110
     RMC  1317363862.977999926        181  0.122863054  0.217133888  0.233040094  0.234107971
     RMC  1317363863.977999926        181  0.122866154  0.217136987  0.233039141  0.234045029
     RMC  1317363864.977999926        389  0.124099016  0.326703183  0.343068123  0.344135046
     RMC  1317363865.977999926        197  0.122789145  0.225393311  0.233385086  0.234375000
     RMC  1317363866.977999926        192  0.092787027  0.192787027  0.193034172  0.194095135
     RMC  1317363867.977999926        183  0.112789154  0.208101654  0.213646173  0.214715958
     RMC  1317363868.976999998        194  0.133786917  0.234828583  0.234045029  0.235167980
     RMC  1317363869.976999998        394  0.133788109  0.338996442  0.354047060  0.355031013
     RMC  1317363870.976999998        194  0.135092974  0.236134640  0.235302925  0.236232996
     RMC  1317363871.976999998        184  0.104044914  0.199878248  0.204051018  0.205076933
     RMC  1317363872.976999998        193  0.133785963  0.234306796  0.234039068  0.235106945
     RMC  1317363873.976999998        192  0.133791924  0.233791924  0.234044075  0.235033989
     RMC  1317363874.976999998        390  0.133783102  0.336908102  0.345360041  0.346230984
     RMC  1317363875.976999998        195  0.133781910  0.235344410  0.244081974  0.245019913
     RMC  1317363876.976999998        184  0.103993893  0.199827226  0.204046965  0.205131054
     RMC  1317363877.976999998        196  0.085232019  0.187315353  0.204052925  0.205070972
     RMC  1317363878.976999998        184  0.103787899  0.199621232  0.204032898  0.205107927
     RMC  1317363879.976999998        382  0.103787899  0.302746232  0.314035892  0.314918041
     RMC  1317363880.976999998        184  0.143789053  0.239622386  0.244043112  0.245126963
     RMC  1317363881.976999998        194  0.133789062  0.234830729  0.244052887  0.245079041
     RMC  1317363882.976999998        193  0.133790016  0.234310850  0.234035015  0.235111952
     RMC  1317363883.976999998        193  0.134478092  0.234998926  0.234031916  0.235065937
     RMC  1317363884.976000071        386  0.134785891  0.335827557  0.345057011  0.346105814
     RMC  1317363885.976000071        192  0.134786844  0.234786844  0.235034943  0.236079931
     RMC  1317363886.976000071        185  0.144785881  0.241140048  0.245090008  0.246441841
     RMC  1317363887.976000071        200  0.134784937  0.238951604  0.245033979  0.246037960
     RMC  1317363888.976000071        192  0.134963989  0.234963989  0.245144844  0.246696949
     RMC  1317363889.976000071        391  0.096043825  0.299689658  0.315032959  0.315913916
     RMC  1317363890.976000071        189  0.135535955  0.233973455  0.235046864  0.236120939
     RMC  1317363891.976000071        190  0.134785891  0.233744224  0.235086918  0.236392975
     RMC  1317363892.976000071        189  0.136073828  0.234511328  0.236379862  0.237308025
     RMC  1317363893.976000071        191  0.134786844  0.234266011  0.235052824  0.236080885
     RMC  1317363894.976000071        386  0.134788036  0.335829703  0.345085859  0.346196890
     RMC  1317363895.976000071        195  0.094785929  0.196348429  0.205675840  0.206773996
     RMC  1317363896.976000071        189  0.134788990  0.233226490  0.235045910  0.236142874
     RMC  1317363897.976000071        193  0.134789944  0.235310777  0.235041857  0.236018896
     RMC  1317363898.976000071        190  0.136037827  0.234996160  0.235036850  0.236093998
     RMC  1317363899.976000071        386  0.134788990  0.335830657  0.345036030  0.345943928
     RMC  1317363900.976000071        188  0.134788036  0.232704703  0.235054970  0.236148834
     RMC  1317363901.974999905        187  0.125786066  0.223181899  0.226047039  0.227079153
     RMC  1317363902.974999905        180  0.095800161  0.189550161  0.204610109  0.205708981
     RMC  1317363903.974999905        190  0.125791073  0.224749406  0.226042986  0.227045059
     RMC  1317363904.974999905        385  0.115862131  0.316382964  0.336050987  0.337148190
     RMC  1317363905.974999905        190  0.125789165  0.224747499  0.226055145  0.227066040
     RMC  1317363906.974999905        190  0.125789165  0.224747499  0.226078987  0.227143049
     RMC  1317363907.974999905        187  0.125787020  0.223182853  0.226050138  0.227113008
     RMC  1317363908.974999905        187  0.125961065  0.223356899  0.226046085  0.227159977
     RMC  1317363909.974999905        376  0.135786057  0.331619390  0.346053123  0.347045183
     RMC  1317363910.974999905        189  0.125790119  0.224227619  0.227307081  0.228378057
     RMC  1317363911.974999905        189  0.125787020  0.224224520  0.226047039  0.227070093
     RMC  1317363912.974999905        190  0.125794172  0.224752506  0.226054192  0.227162123
     RMC  1317363913.974999905        189  0.127080202  0.225517702  0.226205111  0.227627039
     RMC  1317363914.974999905        392  0.087044001  0.291210667  0.306097031  0.307219982
     RMC  1317363915.974999905        192  0.125806093  0.225806093  0.226052046  0.227094173
     RMC  1317363916.974999905        197  0.125787020  0.228391186  0.236163139  0.237526178
