# Split latency data, Haicom 204s, 9600N1, cycle 1s
#   GPGGA	   GPRMC	   GPGLL	      T1	      D1	       W	      E2	      T2	      D2	  length	tag
# ---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	--------
-       	0.423900	-       	0.501700	0.502300	0.502300	0.502300	0.502432	0.502564	      70	# GPRMC
0.027600	-       	-       	0.117600	0.118100	0.118100	0.118100	0.118283	0.118400	      81	# GPGGA
-       	-       	0.119600	0.173600	0.174100	0.174100	0.174100	0.174258	0.174345	      49	# GPGLL
-       	0.424500	-       	0.501500	0.502100	0.502100	0.502100	0.502218	0.502349	      70	# GPRMC
0.027400	-       	-       	0.117500	0.118000	0.118000	0.118000	0.118172	0.118298	      81	# GPGGA
-       	-       	0.119400	0.173400	0.174000	0.174000	0.174000	0.174106	0.174193	      49	# GPGLL
-       	0.424400	-       	0.501400	0.501900	0.502000	0.502000	0.502100	0.502241	      70	# GPRMC
0.028300	-       	-       	0.119300	0.119800	0.119800	0.119900	0.119989	0.120107	      81	# GPGGA
-       	-       	0.121300	0.175300	0.175800	0.175800	0.175800	0.175965	0.176051	      49	# GPGLL
-       	0.425500	-       	0.503200	0.503800	0.503800	0.503800	0.503942	0.504073	      70	# GPRMC
0.030200	-       	-       	0.120100	0.120700	0.120700	0.120700	0.120851	0.120967	      81	# GPGGA
-       	-       	0.122400	0.176100	0.176700	0.176700	0.176700	0.176830	0.176916	      49	# GPGLL
-       	0.426300	-       	0.504100	0.504600	0.504700	0.504700	0.504802	0.504934	      70	# GPRMC
0.027000	-       	-       	0.118000	0.118600	0.118600	0.118600	0.118708	0.118826	      81	# GPGGA
-       	-       	0.120300	0.174000	0.174500	0.174500	0.174600	0.174688	0.174775	      49	# GPGLL
-       	0.424200	-       	0.501900	0.502500	0.502500	0.502500	0.502661	0.502793	      70	# GPRMC
0.026900	-       	-       	0.116800	0.117400	0.117400	0.117400	0.117570	0.117688	      81	# GPGGA
-       	-       	0.119900	0.172800	0.173400	0.173400	0.173400	0.173543	0.173629	      49	# GPGLL
-       	0.423800	-       	0.500800	0.501400	0.501400	0.501400	0.501508	0.501639	      70	# GPRMC
0.026700	-       	-       	0.117700	0.118300	0.118300	0.118300	0.118423	0.118540	      81	# GPGGA
-       	-       	0.120000	0.173700	0.174200	0.174300	0.174300	0.174404	0.174491	      49	# GPGLL
-       	0.423900	-       	0.501700	0.502200	0.502200	0.502200	0.502376	0.502508	      70	# GPRMC
0.026600	-       	-       	0.117600	0.118100	0.118100	0.118100	0.118281	0.118398	      81	# GPGGA
-       	-       	0.119900	0.173600	0.174100	0.174100	0.174100	0.174252	0.174348	      49	# GPGLL
-       	0.423600	-       	0.501500	0.502100	0.502100	0.502100	0.502231	0.502372	      70	# GPRMC
