# Raw latency data, Haicom 204s, 4800N1, cycle 1s
#	      T1	      E1	      D1	       W	      E2	      T2	      D2	tag
#-	--------	--------	--------	--------	--------	--------	--------	--------
49	0.212800	0.319700	0.320300	0.320300	0.320300	0.320407	0.320522  	# GPGLL
69	0.839600	0.993600	0.994200	0.994200	0.994200	0.994335	0.994472  	# GPRMC
81	0.026600	0.207600	0.208100	0.208100	0.208200	0.208301	0.208422  	# GPGGA
49	0.212600	0.319600	0.320100	0.320100	0.320100	0.320258	0.320347  	# GPGLL
69	0.839600	0.993500	0.994000	0.994000	0.994100	0.994198	0.994335  	# GPRMC
81	0.029500	0.210400	0.211000	0.211000	0.211000	0.211171	0.211292  	# GPGGA
49	0.214500	0.322400	0.323000	0.323000	0.323000	0.323125	0.323212  	# GPGLL
69	0.842400	0.995300	0.995900	0.995900	0.995900	0.996053	0.996189  	# GPRMC
81	0.027300	0.208400	0.208900	0.208900	0.209000	0.209180	0.209311  	# GPGGA
49	0.212300	0.320300	0.320900	0.320900	0.320900	0.321009	0.321097  	# GPGLL
69	0.840300	0.993200	0.993700	0.993700	0.993800	0.993906	0.994042  	# GPRMC
81	0.026200	0.207200	0.207700	0.207700	0.207700	0.207877	0.207999  	# GPGGA
49	0.212200	0.319100	0.319700	0.319700	0.319700	0.319834	0.319922  	# GPGLL
69	0.839100	0.993200	0.993700	0.993800	0.993800	0.993965	0.994114  	# GPRMC
81	0.026100	0.207000	0.207600	0.207600	0.207600	0.207733	0.207854  	# GPGGA
49	0.212000	0.320000	0.320600	0.320600	0.320600	0.320707	0.320795  	# GPGLL
69	0.839000	0.992900	0.993500	0.993500	0.993500	0.993625	0.993762  	# GPRMC
81	0.025900	0.206900	0.207400	0.207400	0.207500	0.207590	0.207709  	# GPGGA
49	0.210900	0.319300	0.319900	0.319900	0.319900	0.320362	0.320450  	# GPGLL
69	0.839900	0.992800	0.993300	0.993300	0.993300	0.993478	0.993614  	# GPRMC
81	0.028800	0.209800	0.210300	0.210300	0.210300	0.210483	0.210603  	# GPGGA
49	0.213700	0.321800	0.322400	0.322400	0.322400	0.322617	0.322723  	# GPGLL
69	0.841600	0.994600	0.995200	0.995200	0.995200	0.995344	0.995480  	# GPRMC
81	0.029600	0.209600	0.210100	0.210100	0.210200	0.210303	0.210424  	# GPGGA
49	0.214600	0.322600	0.323100	0.323100	0.323200	0.323294	0.323381  	# GPGLL
69	0.842500	0.995500	0.996000	0.996000	0.996100	0.996195	0.996332  	# GPRMC
81	0.026500	0.207400	0.208000	0.208000	0.208000	0.208163	0.208283  	# GPGGA
49	0.212500	0.319400	0.320000	0.320000	0.320000	0.320136	0.320225  	# GPGLL
69	0.839400	0.993300	0.993900	0.993900	0.993900	0.994054	0.994191  	# GPRMC
81	0.028300	0.209300	0.209900	0.209900	0.209900	0.210037	0.210158  	# GPGGA
49	0.213300	0.321400	0.321900	0.321900	0.322000	0.322088	0.322175  	# GPGLL
69	0.841200	0.994200	0.994800	0.994800	0.994800	0.994924	0.995058  	# GPRMC
