# Analyzed latency, 2011-09-24T20:57:31, Generic NMEA, 9600 8N1, cycle 1s
#- Tag -  ----- Fix time -----  - Chars -  - Latency -  -- RS232 --  --Analysis-  --- Recv --
     RMC  1316897875.923000097        190  0.053931952  0.197916667  0.264360905  0.265516996
     RMC  1316897876.923000097        190  0.053975821  0.197916667  0.274086952  0.274906874
     RMC  1316897877.923000097        191  0.044003963  0.198958333  0.264122009  0.265064001
     RMC  1316897878.923000097        189  0.046137810  0.196875000  0.274199009  0.275206804
     RMC  1316897879.923000097        361  0.053910017  0.376041667  0.464067936  0.464816809
     RMC  1316897880.923000097        190  0.053952932  0.197916667  0.264064789  0.265493870
     RMC  1316897881.923000097        190  0.053954840  0.197916667  0.264065981  0.264812946
     RMC  1316897882.923000097        191  0.053911924  0.198958333  0.264110804  0.265094995
     RMC  1316897883.923000097        189  0.053929806  0.196875000  0.264145851  0.265079021
     RMC  1316897884.923000097        370  0.043934822  0.385416667  0.464109898  0.464896917
     RMC  1316897885.923000097        190  0.053913832  0.197916667  0.264117956  0.265067816
     RMC  1316897886.921999931        183  0.064932108  0.190625000  0.265110016  0.266093969
     RMC  1316897887.921999931        190  0.054913044  0.197916667  0.275110006  0.276039124
     RMC  1316897888.921999931        191  0.054931164  0.198958333  0.265110970  0.266088009
     RMC  1316897889.921999931        362  0.054913998  0.377083333  0.465106010  0.467010975
     RMC  1316897890.921999931        198  0.046270132  0.206250000  0.265102148  0.266070127
     RMC  1316897891.921999931        199  0.046168089  0.207291667  0.265136003  0.266062975
     RMC  1316897892.921999931        199  0.045319080  0.207291667  0.265103102  0.266055107
     RMC  1316897893.921999931        199  0.046188116  0.207291667  0.265186071  0.266204119
     RMC  1316897894.921999931        370  0.046174049  0.385416667  0.465109110  0.466051102
     RMC  1316897895.921999931        194  0.054919004  0.202083333  0.275110960  0.276036978
     RMC  1316897896.921999931        197  0.054911137  0.205208333  0.275102139  0.276043177
     RMC  1316897897.921999931        199  0.046161175  0.207291667  0.265103102  0.265993118
     RMC  1316897898.921999931        199  0.046226025  0.207291667  0.265110016  0.266093969
     RMC  1316897899.921999931        365  0.054912090  0.380208333  0.465110064  0.466026068
     RMC  1316897900.921999931        199  0.044912100  0.207291667  0.265104055  0.266069174
     RMC  1316897901.921999931        192  0.054912090  0.200000000  0.265104055  0.266009092
     RMC  1316897902.921000004        189  0.065908909  0.196875000  0.266104937  0.267081976
     RMC  1316897903.921000004        199  0.046015024  0.207291667  0.266102076  0.267158031
     RMC  1316897904.921000004        360  0.055907011  0.375000000  0.466156960  0.466969013
     RMC  1316897905.921000004        198  0.045907021  0.206250000  0.266227961  0.267235994
     RMC  1316897906.921000004        199  0.045913935  0.207291667  0.266119957  0.267107964
     RMC  1316897907.921000004        199  0.047241926  0.207291667  0.266182899  0.267370939
     RMC  1316897908.921000004        199  0.045917034  0.207291667  0.266099930  0.267112970
     RMC  1316897909.921000004        361  0.055918932  0.376041667  0.466080904  0.466830969
     RMC  1316897910.921000004        188  0.056437016  0.195833333  0.266172886  0.267199993
     RMC  1316897911.921000004        189  0.059950113  0.196875000  0.266133070  0.267101049
     RMC  1316897912.921000004        181  0.065926075  0.188541667  0.266128063  0.267143965
     RMC  1316897913.921000004        190  0.055913925  0.197916667  0.266108990  0.267051935
     RMC  1316897914.921000004        361  0.055917025  0.376041667  0.466103077  0.467114925
     RMC  1316897915.921000004        190  0.055912971  0.197916667  0.266110897  0.267122984
     RMC  1316897916.921000004        189  0.066400051  0.196875000  0.266105890  0.267179012
     RMC  1316897917.921000004        189  0.055917025  0.196875000  0.266108036  0.267111063
     RMC  1316897918.920000076        181  0.066917896  0.188541667  0.267107964  0.268157959
     RMC  1316897919.920000076        352  0.067001820  0.366666667  0.477114916  0.478127003
     RMC  1316897920.920000076        181  0.066912889  0.188541667  0.267174959  0.268455982
     RMC  1316897921.920000076        182  0.056990862  0.189583333  0.268657923  0.269657850
     RMC  1316897922.920000076        182  0.066926003  0.189583333  0.267132998  0.268203974
     RMC  1316897923.920000076        189  0.058167934  0.196875000  0.267104864  0.268100977
     RMC  1316897924.920000076        359  0.066959858  0.373958333  0.467106819  0.468145847
     RMC  1316897925.920000076        189  0.066916943  0.196875000  0.268608809  0.269618034
     RMC  1316897926.920000076        194  0.056905031  0.202083333  0.277052879  0.277890921
     RMC  1316897927.920000076        189  0.056905985  0.196875000  0.267064810  0.267876863
     RMC  1316897928.920000076        188  0.056905985  0.195833333  0.267108917  0.268180847
     RMC  1316897929.920000076        370  0.046911955  0.385416667  0.467125893  0.468149900
     RMC  1316897930.920000076        197  0.048159838  0.205208333  0.267442942  0.268431902
     RMC  1316897931.920000076        188  0.056907892  0.195833333  0.267074823  0.267833948
     RMC  1316897932.920000076        187  0.056911945  0.194791667  0.267056942  0.267850876
     RMC  1316897933.920000076        188  0.056910038  0.195833333  0.267107010  0.268038988
     RMC  1316897934.920000076        368  0.046912909  0.383333333  0.457110882  0.458112001
     RMC  1316897935.918999910        196  0.047913074  0.204166667  0.268105984  0.269031048
     RMC  1316897936.918999910        196  0.047913074  0.204166667  0.268113136  0.269090176
     RMC  1316897937.918999910        196  0.047912121  0.204166667  0.268125057  0.269052029
     RMC  1316897938.918999910        196  0.047914982  0.204166667  0.268105030  0.269077063
     RMC  1316897939.918999910        370  0.047913074  0.385416667  0.468095064  0.468839169
     RMC  1316897940.918999910        194  0.049410105  0.202083333  0.268066168  0.268841028
     RMC  1316897941.918999910        187  0.049442053  0.194791667  0.271138191  0.272047043
     RMC  1316897942.918999910        186  0.067986012  0.193750000  0.268471003  0.269448042
     RMC  1316897943.918999910        187  0.049487114  0.194791667  0.273059130  0.274183035
     RMC  1316897944.918999910        357  0.057934046  0.371875000  0.468114138  0.469089985
     RMC  1316897945.918999910        186  0.057928085  0.193750000  0.268105984  0.269042015
     RMC  1316897946.918999910        196  0.049556017  0.204166667  0.269680023  0.270914078
     RMC  1316897947.918999910        187  0.057922125  0.194791667  0.268120050  0.269289017
     RMC  1316897948.918999910        186  0.057914972  0.193750000  0.270905972  0.271879196
     RMC  1316897949.918999910        354  0.047921181  0.368750000  0.450472116  0.451369047
     RMC  1316897950.918999910        182  0.049160004  0.189583333  0.258115053  0.259095192
